name	id	content
Anna Nalick	/guid/9202a8c04000641f800000000054ed66	KGRL,Fresh 102.7,KIMN,GotRadio - Womens Alternative,1Club.FM: Mix 106,Sophie @ 103.7 KSCF,WTIC-FM
Art Brut	/guid/9202a8c04000641f800000000063e085	Whiskey From A Wire
Death from Above 1979	/guid/9202a8c04000641f8000000000535dbf	Gimme Noise!,WOXY artrocker
Biffy Clyro	/guid/9202a8c04000641f80000000003d5fb4	QT FM,Zeilsteen Radio,radioIO ALT ROCK
Fez Whatley	/guid/9202a8c04000641f8000000000747744	Ron and Fez
Charles Correll	/guid/9202a8c04000641f800000000014cdb4	
Michelangelo Signorile	/guid/9202a8c04000641f80000000001b4b7e	
Alan Berg	/guid/9202a8c04000641f8000000000289d70	
Gabriel & Dresden	/guid/9202a8c04000641f8000000000a76a6b	Switch 1197
The Dismemberment Plan	/guid/9202a8c04000641f80000000004ce8f5	Gimme Noise!
Taking Back Sunday	/guid/9202a8c04000641f80000000001c2994	1.FM X,181-buzz,idobi Radio
The Agony Scene	/guid/9202a8c04000641f80000000004e0a66	ChroniX Aggression
David Mattingly	/guid/9202a8c04000641f8000000009ef44f9	
Jay Jacobs	/guid/9202a8c04000641f8000000008765c0c	
Jerry Blavat	/guid/9202a8c04000641f800000000879fb62	
Malikha Mallette	/guid/9202a8c04000641f8000000000cb0da1	
Stephen Stills	/guid/9202a8c04000641f800000000013b49d	WXRT,Living Legends Music,radioIO Rock Mix,KLUV,radioIO Classic Acoustic Rock,ORSRADIO.COM Oldies,KLTH,WOGL
System 7	/guid/9202a8c04000641f80000000005d5eaa	Space Station Soma on SomaFM
Frank Zappa	/guid/9202a8c04000641f8000000000016df0	radioIO Progressive Rock,radioIO 80s NEW WAVE,radioIO Classic Rock,radioIO History of Rock
The Mavericks	/guid/9202a8c04000641f80000000006087b8	1Club.FM: Bar Rockin' Country,radioIO shuffle,radioIO Todays Country,1.FM Disco Ball
Max Falkenstein	/guid/9202a8c04000641f8000000000ac2cb1	
Jill Pike	/guid/9202a8c04000641f80000000009fa8ed	
Rob Weingarten	/guid/9202a8c04000641f8000000000ba6b2a	
Burning Spear	/guid/9202a8c04000641f800000000007c854	1.FM Reggaetrade,RightOnReggae,Live ReggaeCast,Roots Reggae on Sky.fm
Celine Dion	/guid/9202a8c04000641f800000000015edf5	Big R Radio - Warm 101.6,KOIT,TunzRadio.com,All Top Hits on Sky.fm,radioIO 90s POP,radioIO Lovesongs,WDOK,radioIO Todays POP,WEAT Sunny 104.3,WSR Leashed,KYMX,Planet Hits Radio,1Club.FM: 95 The Lite,Planet Hits Radio . The Mix,LG73,Hits 80s 90s and Now,EYE97,Fresh 102.7,1.FM Always Christmas,WLTE,Humboldt 101,Soundic Radio,Radio Rouge
Lee Marshall	/guid/9202a8c04000641f8000000000a2c8c0	
George Balcan	/guid/9202a8c04000641f800000000044a4ad	
Joe Burke	/guid/9202a8c04000641f80000000008db8c9	Green Mist Radio
Pretty Poison	/guid/9202a8c04000641f80000000006c4cda	Movin 99.7,1Club.FM: Jammin' Oldies
Terry Gross	/guid/9202a8c04000641f80000000002203c3	Fresh Air
Tammy Wynette	/guid/9202a8c04000641f80000000001618fc	Radio Country,radioIO Classic Country,1.FM Classic Country,1.FM Luxuria Music,.997 Radiostorm Oldies
Tom T. Hall	/guid/9202a8c04000641f800000000030d6c3	radioIO Classic Country,1Club.FM: Classic Country
100 Demons	/guid/9202a8c04000641f8000000000a6e6c4	525 Power Tracks
The Time	/guid/9202a8c04000641f80000000005dfe4c	radioIO 80s POP,1.FM Back To The 80's,CRIK FM - The Lynx Retro 80s
Pedro the Lion	/guid/9202a8c04000641f8000000000311d09	WOXY artrocker
George Thorogood	/guid/9202a8c04000641f800000000015de2e	radioIO Blues,KJKK-FM,radioIO Top 100 Classic Rock Hits,KZJK,GotRadio - Bit O Blues,radioIO Classic Rock,WZLX,WTGB,radioIO Rock Mix,radioIO History of Rock,radioIO History,WJMK
Abandoned Pools	/guid/9202a8c04000641f800000000021b3df	Pop Rock 80's
Bobby Vee	/guid/9202a8c04000641f8000000000445bcb	Ultimate Oldies Channel
Rilo Kiley	/guid/9202a8c04000641f80000000001b918a	Gimme Noise!,radioIO Women in Rock,radioIO ALT ROCK
Mike Harding	/guid/9202a8c04000641f800000000042a9ed	
Sun Ra	/guid/9202a8c04000641f80000000000a8f0d	DI.fm Modern Jazz
Harry Chapin	/guid/9202a8c04000641f8000000000137877	181-greatoldies,WKQC,1Club.FM: Folk
Azure Ray	/guid/9202a8c04000641f800000000049705e	Whiskey From A Wire
Jimmy Tapp	/guid/9202a8c04000641f80000000004780e2	
Paul Burnett	/guid/9202a8c04000641f8000000000706d0f	
Tasmin Archer	/guid/9202a8c04000641f80000000003aa9df	BNN.FM,Playdio
Clear Light	/guid/9202a8c04000641f8000000000af1268	radioIO Progressive Rock,1Club.FM: Folk
Röyksopp	/guid/9202a8c04000641f80000000001f5f80	Pop Rock 80's,WOXY artrocker,radioIO CHILL,1.FM Afterbeat Electronica,Groove Salad on SomaFM
Cousin Creep	/guid/9202a8c04000641f80000000006d238f	
The Swinging Blue Jeans	/guid/9202a8c04000641f80000000008b86c7	WFE
Paloma San Basilio	/guid/9202a8c04000641f800000000072bbe5	ORSRADIO.COM Spanish Oldies
