name	id	length	artist	album	lyrics	acquire_webpage	song	date	place	contributions
Star Trek Main Title	/guid/9202a8c04000641f8000000001212f4b	53.0		Star Trek, Volume 3: Shore Leave / The Naked Time						
Transporter Energize	/guid/9202a8c04000641f8000000001213675	11.0		Star Trek: Original TV Series Sound Effects						
Suite From Heroes and Demons: Dr. Schweitzer	/guid/9202a8c04000641f8000000001213b29	79.466	Dennis McCarthy	The Best of Star Trek:  30th Anniversary Special						
Late Hours at Midnight	/guid/9202a8c04000641f8000000001213d9f	192.0	Baby Face Leroy	Blues Is Killin' Me						
Times are Tough	/guid/9202a8c04000641f8000000001214046	274.0	Lee 'Shot' Williams	Southern Soul Volume One						
Draw Me Nearer	/guid/9202a8c04000641f80000000012142df	150.0		Golden Jubilee						
I Wanna Walk You Home	/guid/9202a8c04000641f8000000001214690	143.0		The Fat Man Sings Live						
Walking to New Orleans	/guid/9202a8c04000641f80000000012146b3	136.0		The Fat Man Sings Live						
My Tomorrow	/guid/9202a8c04000641f8000000001214914	231.0	Little Joe Blue	Super Soul Blues, Volume I						
Last Goodbye	/guid/9202a8c04000641f8000000001214b44	130.0		Last of the Sharpshooters						
Darkside	/guid/9202a8c04000641f8000000001214ddd	142.0		Pulley						
Another Year Goes By	/guid/9202a8c04000641f8000000001215061	178.226		Insider						
Motel Six	/guid/9202a8c04000641f80000000012152fa	197.773		Baile de los Locos						
Detatchment	/guid/9202a8c04000641f8000000001215768	463.0	Ambush	Sonics Everywhere						
Pain in My Belly	/guid/9202a8c04000641f8000000001215a0f	152.0	Prince Buster & The Maytals	Skankin' Ska						
We Nu Like	/guid/9202a8c04000641f8000000001215bb0	193.0	Spraga Benz	Dancehall Rhythm: The Total Mix						
Open URL	/guid/9202a8c04000641f8000000001215e11	978.0		Web						
My Lie	/guid/9202a8c04000641f8000000001216167	154.0		Voice of America						
Electronic Pop #5 (3)	/guid/9202a8c04000641f80000000012167d4	11.0		The Fantasy Worlds of Irwin Allen						
[silence]	/guid/9202a8c04000641f8000000001216c65	4.0		A Maggot in Their Heads						
House of Defeat	/guid/9202a8c04000641f8000000001216efe	149.0		Elevator Music for Non-Claustrophobic People						
Each Whining Thing	/guid/9202a8c04000641f8000000001217182	70.213		Baptism of Solitude						
A Distant Episode	/guid/9202a8c04000641f80000000012171a5	223.106		Baptism of Solitude						
Auto Hag	/guid/9202a8c04000641f8000000001217406	284.2		Fook						
Excerpt	/guid/9202a8c04000641f800000000121767c	103.0	Spasm	In Dust We Trust						
The Lord Will Make a Way	/guid/9202a8c04000641f8000000001217889	210.0		The Heritage						
Electric Newspaper (Issue 4) 83	/guid/9202a8c04000641f8000000001217c80	18.0		Electric Newspaper: Issue 4						
Electric Newspaper (Issue 4) 88	/guid/9202a8c04000641f8000000001217ca3	6.0		Electric Newspaper: Issue 4						
[silence]	/guid/9202a8c04000641f8000000001217f04	5.0		Fanning the Flames of Fire						
Bedazzled	/guid/9202a8c04000641f800000000121804d	419.0	The Love Interest	Can You See It Yet?						
Habit	/guid/9202a8c04000641f80000000012181c0	502.853		Lounge						
C Is for Sleep	/guid/9202a8c04000641f8000000001218421	421.0	CoH	Interiors						
Backbiter	/guid/9202a8c04000641f80000000012186ba	292.0		Spider Sex and Car Wrecks						
Clothes Hoist	/guid/9202a8c04000641f80000000012188c7	282.0								
The Nothing Song (live)	/guid/9202a8c04000641f8000000001218af7	524.826		Origin of the Species						
Aboriginal	/guid/9202a8c04000641f8000000001218b4b	189.506		A New High in Low						
Nothin'	/guid/9202a8c04000641f8000000001218d58	141.0		A Man And His Beliefs						
